== RENDER LOGGER ==
Study the following SDL_RenderCopyEx() calls to debug render-related issues.
Enable render logger mode on your computer by setting the RENDERLOGGER environmental variable.
frame:actor_id:actor_name

23:-1: dstrect 290.688 184.347 29.3333 29.3333 angle 0 flip 0 renderscale 1 1
23:-1: dstrect 296.998 187.839 29.3333 29.3333 angle 0 flip 0 renderscale 1 1
23:-1: dstrect 328.318 172.241 29.3333 29.3333 angle 0 flip 0 renderscale 1 1
23:-1: dstrect 283.287 155.849 29.3333 29.3333 angle 0 flip 0 renderscale 1 1
23:-1: dstrect 286.695 150.214 29.3333 29.3333 angle 0 flip 0 renderscale 1 1
23:-1: dstrect 289.708 147.116 29.3333 29.3333 angle 0 flip 0 renderscale 1 1
23:-1: dstrect 325.663 152.578 29.3333 29.3333 angle 0 flip 0 renderscale 1 1
24:-1: dstrect 294.917 139.718 28.8 28.8 angle 0 flip 0 renderscale 1 1
24:-1: dstrect 301.97 193.364 28.8 28.8 angle 0 flip 0 renderscale 1 1
24:-1: dstrect 280.365 153.468 28.8 28.8 angle 0 flip 0 renderscale 1 1
24:-1: dstrect 333.567 164.25 28.8 28.8 angle 0 flip 0 renderscale 1 1
24:-1: dstrect 298.114 138.619 28.8 28.8 angle 0 flip 0 renderscale 1 1
24:-1: dstrect 317.974 140.483 28.8 28.8 angle 0 flip 0 renderscale 1 1
24:-1: dstrect 310.514 193.165 28.8 28.8 angle 0 flip 0 renderscale 1 1
24:-1: dstrect 278.789 157.526 28.8 28.8 angle 0 flip 0 renderscale 1 1
24:-1: dstrect 327.992 182.41 28.8 28.8 angle 0 flip 0 renderscale 1 1
24:-1: dstrect 329.397 180.355 28.8 28.8 angle 0 flip 0 renderscale 1 1
24:-1: dstrect 303.529 193.523 28.8 28.8 angle 0 flip 0 renderscale 1 1
24:-1: dstrect 320.804 142.088 28.8 28.8 angle 0 flip 0 renderscale 1 1
24:-1: dstrect 301.522 193.301 28.8 28.8 angle 0 flip 0 renderscale 1 1
24:-1: dstrect 312.811 138.544 28.8 28.8 angle 0 flip 0 renderscale 1 1
24:-1: dstrect 324.997 145.407 28.8 28.8 angle 0 flip 0 renderscale 1 1
24:-1: dstrect 279.509 155.438 28.8 28.8 angle 0 flip 0 renderscale 1 1
24:-1: dstrect 278.556 172.852 28.8 28.8 angle 0 flip 0 renderscale 1 1
24:-1: dstrect 322.322 143.142 28.8 28.8 angle 0 flip 0 renderscale 1 1
24:-1: dstrect 332.267 174.135 28.8 28.8 angle 0 flip 0 renderscale 1 1
24:-1: dstrect 306.537 193.584 28.8 28.8 angle 0 flip 0 renderscale 1 1
24:-1: dstrect 326.53 147.001 28.8 28.8 angle 0 flip 0 renderscale 1 1
24:-1: dstrect 279.513 175.771 28.8 28.8 angle 0 flip 0 renderscale 1 1
24:-1: dstrect 278.359 172.073 28.8 28.8 angle 0 flip 0 renderscale 1 1
24:-1: dstrect 288.513 187.782 28.8 28.8 angle 0 flip 0 renderscale 1 1
24:-1: dstrect 295.875 191.857 28.8 28.8 angle 0 flip 0 renderscale 1 1
24:-1: dstrect 332.415 173.659 28.8 28.8 angle 0 flip 0 renderscale 1 1
24:-1: dstrect 279.879 154.535 28.8 28.8 angle 0 flip 0 renderscale 1 1
24:-1: dstrect 283.855 147.961 28.8 28.8 angle 0 flip 0 renderscale 1 1
24:-1: dstrect 287.371 144.347 28.8 28.8 angle 0 flip 0 renderscale 1 1
24:-1: dstrect 329.318 150.719 28.8 28.8 angle 0 flip 0 renderscale 1 1
25:-1: dstrect 293.658 136.287 28.2667 28.2667 angle 0 flip 0 renderscale 1 1
25:-1: dstrect 301.718 197.597 28.2667 28.2667 angle 0 flip 0 renderscale 1 1
25:-1: dstrect 277.027 152.001 28.2667 28.2667 angle 0 flip 0 renderscale 1 1
25:-1: dstrect 337.829 164.324 28.2667 28.2667 angle 0 flip 0 renderscale 1 1
25:-1: dstrect 297.311 135.031 28.2667 28.2667 angle 0 flip 0 renderscale 1 1
25:-1: dstrect 320.008 137.161 28.2667 28.2667 angle 0 flip 0 renderscale 1 1
25:-1: dstrect 311.483 197.37 28.2667 28.2667 angle 0 flip 0 renderscale 1 1
25:-1: dstrect 275.226 156.64 28.2667 28.2667 angle 0 flip 0 renderscale 1 1
25:-1: dstrect 331.458 185.078 28.2667 28.2667 angle 0 flip 0 renderscale 1 1
25:-1: dstrect 333.063 182.73 28.2667 28.2667 angle 0 flip 0 renderscale 1 1
25:-1: dstrect 303.5 197.779 28.2667 28.2667 angle 0 flip 0 renderscale 1 1
25:-1: dstrect 323.243 138.995 28.2667 28.2667 angle 0 flip 0 renderscale 1 1
25:-1: dstrect 301.206 197.525 28.2667 28.2667 angle 0 flip 0 renderscale 1 1
25:-1: dstrect 314.107 134.946 28.2667 28.2667 angle 0 flip 0 renderscale 1 1
25:-1: dstrect 328.034 142.789 28.2667 28.2667 angle 0 flip 0 renderscale 1 1
25:-1: dstrect 276.049 154.252 28.2667 28.2667 angle 0 flip 0 renderscale 1 1
25:-1: dstrect 274.959 174.155 28.2667 28.2667 angle 0 flip 0 renderscale 1 1
25:-1: dstrect 324.978 140.2 28.2667 28.2667 angle 0 flip 0 renderscale 1 1
25:-1: dstrect 336.344 175.621 28.2667 28.2667 angle 0 flip 0 renderscale 1 1
25:-1: dstrect 306.938 197.849 28.2667 28.2667 angle 0 flip 0 renderscale 1 1
25:-1: dstrect 329.787 144.611 28.2667 28.2667 angle 0 flip 0 renderscale 1 1
25:-1: dstrect 276.052 177.49 28.2667 28.2667 angle 0 flip 0 renderscale 1 1
25:-1: dstrect 274.734 173.265 28.2667 28.2667 angle 0 flip 0 renderscale 1 1
25:-1: dstrect 286.339 191.218 28.2667 28.2667 angle 0 flip 0 renderscale 1 1
25:-1: dstrect 294.752 195.875 28.2667 28.2667 angle 0 flip 0 renderscale 1 1
25:-1: dstrect 336.513 175.076 28.2667 28.2667 angle 0 flip 0 renderscale 1 1
25:-1: dstrect 276.471 153.221 28.2667 28.2667 angle 0 flip 0 renderscale 1 1
25:-1: dstrect 281.015 145.707 28.2667 28.2667 angle 0 flip 0 renderscale 1 1
25:-1: dstrect 285.033 141.577 28.2667 28.2667 angle 0 flip 0 renderscale 1 1
25:-1: dstrect 332.973 148.86 28.2667 28.2667 angle 0 flip 0 renderscale 1 1
26:-1: dstrect 292.398 132.856 27.7333 27.7333 angle 0 flip 0 renderscale 1 1
26:-1: dstrect 301.466 201.829 27.7333 27.7333 angle 0 flip 0 renderscale 1 1
26:-1: dstrect 273.688 150.535 27.7333 27.7333 angle 0 flip 0 renderscale 1 1
26:-1: dstrect 342.091 164.398 27.7333 27.7333 angle 0 flip 0 renderscale 1 1
26:-1: dstrect 296.509 131.444 27.7333 27.7333 angle 0 flip 0 renderscale 1 1
26:-1: dstrect 322.043 133.84 27.7333 27.7333 angle 0 flip 0 renderscale 1 1
26:-1: dstrect 312.451 201.575 27.7333 27.7333 angle 0 flip 0 renderscale 1 1
26:-1: dstrect 271.662 155.753 27.7333 27.7333 angle 0 flip 0 renderscale 1 1
26:-1: dstrect 334.924 187.746 27.7333 27.7333 angle 0 flip 0 renderscale 1 1
26:-1: dstrect 336.729 185.105 27.7333 27.7333 angle 0 flip 0 renderscale 1 1
26:-1: dstrect 303.47 202.035 27.7333 27.7333 angle 0 flip 0 renderscale 1 1
26:-1: dstrect 325.681 135.903 27.7333 27.7333 angle 0 flip 0 renderscale 1 1
26:-1: dstrect 300.89 201.749 27.7333 27.7333 angle 0 flip 0 renderscale 1 1
26:-1: dstrect 315.404 131.347 27.7333 27.7333 angle 0 flip 0 renderscale 1 1
26:-1: dstrect 331.072 140.17 27.7333 27.7333 angle 0 flip 0 renderscale 1 1
26:-1: dstrect 272.588 153.067 27.7333 27.7333 angle 0 flip 0 renderscale 1 1
26:-1: dstrect 271.362 175.458 27.7333 27.7333 angle 0 flip 0 renderscale 1 1
26:-1: dstrect 327.633 137.259 27.7333 27.7333 angle 0 flip 0 renderscale 1 1
26:-1: dstrect 340.42 177.107 27.7333 27.7333 angle 0 flip 0 renderscale 1 1
26:-1: dstrect 307.338 202.113 27.7333 27.7333 angle 0 flip 0 renderscale 1 1
26:-1: dstrect 333.044 142.22 27.7333 27.7333 angle 0 flip 0 renderscale 1 1
26:-1: dstrect 272.592 179.21 27.7333 27.7333 angle 0 flip 0 renderscale 1 1
26:-1: dstrect 271.109 174.456 27.7333 27.7333 angle 0 flip 0 renderscale 1 1
26:-1: dstrect 284.165 194.653 27.7333 27.7333 angle 0 flip 0 renderscale 1 1
26:-1: dstrect 293.63 199.892 27.7333 27.7333 angle 0 flip 0 renderscale 1 1
26:-1: dstrect 340.61 176.494 27.7333 27.7333 angle 0 flip 0 renderscale 1 1
26:-1: dstrect 273.063 151.907 27.7333 27.7333 angle 0 flip 0 renderscale 1 1
26:-1: dstrect 278.175 143.454 27.7333 27.7333 angle 0 flip 0 renderscale 1 1
26:-1: dstrect 282.696 138.808 27.7333 27.7333 angle 0 flip 0 renderscale 1 1
26:-1: dstrect 336.628 147.001 27.7333 27.7333 angle 0 flip 0 renderscale 1 1
27:-1: dstrect 291.139 129.426 27.2 27.2 angle 0 flip 0 renderscale 1 1
27:-1: dstrect 301.214 206.062 27.2 27.2 angle 0 flip 0 renderscale 1 1
27:-1: dstrect 270.35 149.068 27.2 27.2 angle 0 flip 0 renderscale 1 1
27:-1: dstrect 346.353 164.472 27.2 27.2 angle 0 flip 0 renderscale 1 1
27:-1: dstrect 295.706 127.856 27.2 27.2 angle 0 flip 0 renderscale 1 1
27:-1: dstrect 324.077 130.518 27.2 27.2 angle 0 flip 0 renderscale 1 1
27:-1: dstrect 313.42 205.779 27.2 27.2 angle 0 flip 0 renderscale 1 1
27:-1: dstrect 268.099 154.866 27.2 27.2 angle 0 flip 0 renderscale 1 1
27:-1: dstrect 338.389 190.414 27.2 27.2 angle 0 flip 0 renderscale 1 1
27:-1: dstrect 340.395 187.479 27.2 27.2 angle 0 flip 0 renderscale 1 1
27:-1: dstrect 303.441 206.29 27.2 27.2 angle 0 flip 0 renderscale 1 1
27:-1: dstrect 328.12 132.811 27.2 27.2 angle 0 flip 0 renderscale 1 1
27:-1: dstrect 300.574 205.973 27.2 27.2 angle 0 flip 0 renderscale 1 1
27:-1: dstrect 316.701 127.749 27.2 27.2 angle 0 flip 0 renderscale 1 1
27:-1: dstrect 334.109 137.552 27.2 27.2 angle 0 flip 0 renderscale 1 1
27:-1: dstrect 269.128 151.882 27.2 27.2 angle 0 flip 0 renderscale 1 1
27:-1: dstrect 267.765 176.761 27.2 27.2 angle 0 flip 0 renderscale 1 1
27:-1: dstrect 330.289 134.317 27.2 27.2 angle 0 flip 0 renderscale 1 1
27:-1: dstrect 344.496 178.593 27.2 27.2 angle 0 flip 0 renderscale 1 1
27:-1: dstrect 307.739 206.378 27.2 27.2 angle 0 flip 0 renderscale 1 1
27:-1: dstrect 336.3 139.83 27.2 27.2 angle 0 flip 0 renderscale 1 1
27:-1: dstrect 269.132 180.93 27.2 27.2 angle 0 flip 0 renderscale 1 1
27:-1: dstrect 267.484 175.648 27.2 27.2 angle 0 flip 0 renderscale 1 1
27:-1: dstrect 281.991 198.089 27.2 27.2 angle 0 flip 0 renderscale 1 1
27:-1: dstrect 292.507 203.91 27.2 27.2 angle 0 flip 0 renderscale 1 1
27:-1: dstrect 344.708 177.912 27.2 27.2 angle 0 flip 0 renderscale 1 1
27:-1: dstrect 269.656 150.593 27.2 27.2 angle 0 flip 0 renderscale 1 1
27:-1: dstrect 275.335 141.201 27.2 27.2 angle 0 flip 0 renderscale 1 1
27:-1: dstrect 280.358 136.038 27.2 27.2 angle 0 flip 0 renderscale 1 1
